NFDS,NS
0.9294,0.9413
0.9618,0.9225
0.9867,0.8562
0.9639,0.9197
0.9776,0.8416
0.8511,0.9167
0.9917,0.9471
0.988,0.9536
0.9735,0.9577
0.9637,0.9448
0.9565,0.9633
0.9794,0.7645
0.9729,0.95
0.9733,0.9621
0.9674,0.97
0.9812,0.935
0.942,0.7588
0.9202,0.9715
0.9747,0.9087
0.9,0.8455
0.944,0.8843
0.9744,0.9522
0.9499,0.9584
0.9921,0.9827
0.8833,0.8352
0.986,0.8436
0.9904,0.8681
0.9811,0.9625
0.9431,0.7841
0.9774,0.9769
0.9665,0.9681
0.9591,0.966
0.9575,0.939
0.9908,0.8042
0.9468,0.9363
0.9909,0.9806
0.9873,0.9142
0.9705,0.8006
0.9534,0.9773
0.969,0.9153
0.9888,0.8324
0.9899,0.867
0.9282,0.9662
0.9651,0.8989
0.9706,0.9689
0.9519,0.9153
0.9552,0.9591
0.9854,0.868
0.9189,0.8008
0.9714,0.8343
