no_esc,esc
0.093134,0.2123
0.130292,0.1478
0.129013,0.1535
0.111468,0.1459
0.116323,0.1642
0.122067,0.2285
0.082274,0.1157
0.120717,0.1455
0.089843,0.1637
0.141692,0.1537
0.115101,0.1474
0.078991,0.1359
0.079632,0.1433
0.11891,0.1288
0.075485,0.1302
0.127783,0.1767
0.100252,0.1019
0.094446,0.2006
0.133122,0.1478
0.102259,0.3011
0.12479,0.1368
0.124575,0.1943
0.093705,0.172
0.11236,0.1218
0.108946,0.1562
0.146838,0.1352
0.124896,0.1732
0.097478,0.1708
0.111036,0.082
0.093005,0.1708
0.09011,0.078
0.135652,0.1247
0.09383,0.1069
0.085985,0.168
0.097536,0.1185
0.100244,0.1437
0.128362,0.1546
0.146179,0.093
0.1715,0.1284
0.118796,0.179
0.141632,0.1393
0.085972,0.1518
0.076356,0.1464
0.123708,0.1213
0.021838,0.2494
0.120456,0.193
0.115016,0.1167
0.097701,0.1465
0.139486,0.1677
0.083521,0.2444
